Compound;FC ([BlancoSurrogados] vs [Control]);Log FC ([BlancoSurrogados] vs [Control]);FC (abs) ([BlancoSurrogados] vs [Control]);Regulation ([BlancoSurrogados] vs [Control]);FC ([ControlSurrogados] vs [Control]);Log FC ([ControlSurrogados] vs [Control]);FC (abs) ([ControlSurrogados] vs [Control]);Regulation ([ControlSurrogados] vs [Control]);FC ([Disolventes] vs [Control]);Log FC ([Disolventes] vs [Control]);FC (abs) ([Disolventes] vs [Control]);Regulation ([Disolventes] vs [Control]);FC ([Docusato] vs [Control]);Log FC ([Docusato] vs [Control]);FC (abs) ([Docusato] vs [Control]);Regulation ([Docusato] vs [Control]);FC ([QC] vs [Control]);Log FC ([QC] vs [Control]);FC (abs) ([QC] vs [Control]);Regulation ([QC] vs [Control]);FC ([Tetra+Docu] vs [Control]);Log FC ([Tetra+Docu] vs [Control]);FC (abs) ([Tetra+Docu] vs [Control]);Regulation ([Tetra+Docu] vs [Control]);FC ([Tetraconazol] vs [Control]);Log FC ([Tetraconazol] vs [Control]);FC (abs) ([Tetraconazol] vs [Control]);Regulation ([Tetraconazol] vs [Control]);BLANCOSURRO1_1: Log2(normalized);BLANCOSURRO1_1_neg: Log2(normalized);BLANCOSURRO1_2: Log2(normalized);BLANCOSURRO1_2_neg: Log2(normalized);BLANCOSURRO1_3: Log2(normalized);BLANCOSURRO1_3_neg: Log2(normalized);BLANCOSURRO2_1: Log2(normalized);BLANCOSURRO2_1_neg: Log2(normalized);BLANCOSURRO2_2: Log2(normalized);BLANCOSURRO2_2_neg: Log2(normalized);BLANCOSURRO2_3: Log2(normalized);BLANCOSURRO2_3_neg: Log2(normalized);BLANCOSURRO3_1: Log2(normalized);BLANCOSURRO3_1_neg: Log2(normalized);BLANCOSURRO3_2: Log2(normalized);BLANCOSURRO3_2_neg: Log2(normalized);C54_1_1: Log2(normalized);C54_1_1_neg: Log2(normalized);C54_1_2: Log2(normalized);C54_1_2_neg: Log2(normalized);C54_2_1: Log2(normalized);C54_2_1_neg: Log2(normalized);C54_2_2: Log2(normalized);C54_2_2_neg: Log2(normalized);ControlSurro_1: Log2(normalized);ControlSurro_1_neg: Log2(normalized);ControlSurro_2: Log2(normalized);ControlSurro_2_neg: Log2(normalized);ControlSurro_3: Log2(normalized);ControlSurro_3_neg: Log2(normalized);ControlSurro_4: Log2(normalized);ControlSurro_4_neg: Log2(normalized);ControlSurro_5: Log2(normalized);ControlSurro_5_neg: Log2(normalized);ControlSurro_7: Log2(normalized);ControlSurro_7_neg: Log2(normalized);ControlSurro_8: Log2(normalized);ControlSurro_8_neg: Log2(normalized);ControlSurro_9: Log2(normalized);ControlSurro_9_neg: Log2(normalized);ControlSurro_10: Log2(normalized);ControlSurro_10_neg: Log2(normalized);Disolv_1: Log2(normalized);Disolv_1_neg: Log2(normalized);Disolv_2: Log2(normalized);Disolv_2_neg: Log2(normalized);Disolv_3: Log2(normalized);Disolv_3_neg: Log2(normalized);Disolv_4: Log2(normalized);Disolv_4_neg: Log2(normalized);Disolv_5: Log2(normalized);Disolv_5_neg: Log2(normalized);Disolv_7: Log2(normalized);Disolv_7_neg: Log2(normalized);Disolv_8: Log2(normalized);Disolv_8_neg: Log2(normalized);Disolv_9: Log2(normalized);Disolv_9_neg: Log2(normalized);Disolv_10: Log2(normalized);Disolv_10_neg: Log2(normalized);D54_1_1: Log2(normalized);D54_1_1_neg: Log2(normalized);D54_1_2: Log2(normalized);D54_1_2_neg: Log2(normalized);D54_2_1: Log2(normalized);D54_2_1_neg: Log2(normalized);D54_2_2: Log2(normalized);D54_2_2_neg: Log2(normalized);D54_3_1: Log2(normalized);D54_3_1_neg: Log2(normalized);D54_3_2: Log2(normalized);D54_3_2_neg: Log2(normalized);QCTODOS1_1: Log2(normalized);QCTODOS1_1_neg: Log2(normalized);QCTODOS1_2: Log2(normalized);QCTODOS1_2_neg: Log2(normalized);QCTODOS1_3: Log2(normalized);QCTODOS1_3_neg: Log2(normalized);QCTODOS2_1: Log2(normalized);QCTODOS2_1_neg: Log2(normalized);QCTODOS2_2: Log2(normalized);QCTODOS2_2_neg: Log2(normalized);QCTODOS2_3: Log2(normalized);QCTODOS2_3_neg: Log2(normalized);QCTODOS3_1: Log2(normalized);QCTODOS3_1_neg: Log2(normalized);QCTODOS3_2: Log2(normalized);QCTODOS3_2_neg: Log2(normalized);TD54_1_1: Log2(normalized);TD54_1_1_neg: Log2(normalized);TD54_1_2: Log2(normalized);TD54_1_2_neg: Log2(normalized);TD54_2_1: Log2(normalized);TD54_2_1_neg: Log2(normalized);TD54_2_2: Log2(normalized);TD54_2_2_neg: Log2(normalized);T54_1_1: Log2(normalized);T54_1_1_neg: Log2(normalized);T54_1_2: Log2(normalized);T54_1_2_neg: Log2(normalized);T54_2_1: Log2(normalized);T54_2_1_neg: Log2(normalized);T54_2_2: Log2(normalized);T54_2_2_neg: Log2(normalized);T54_3_1: Log2(normalized);T54_3_1_neg: Log2(normalized);T54_3_2: Log2(normalized);T54_3_2_neg: Log2(normalized);CAS Number;ChEBI ID;Compound Name;KEGG ID;Mass;Retention Time;HMP ID;Formula;Frequency;Ionization mode;LMP ID
C6 H12 O7;-145,59633;-7,18583;145,59633;down;-145,59633;-7,18583;145,59633;down;-145,59633;-7,18583;145,59633;down;1,2763711;0,35204792;1,2763711;up;1,3422488;0,4246521;1,3422488;up;1,2279223;0,29621935;1,2279223;up;1,3854101;0,47031307;1,3854101;up;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,585491;0;14,352802;0;14,437947;0;14,110402;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,996914;0;16,738962;0;14,116994;0;13,839006;0;14,567363;0;14,195295;0;15,366425;0;15,164435;0;15,094202;0;15,779052;0;15,493105;0;15,335774;0;14,875894;0;14,658826;0;14,208006;0;13,922491;0;15,980698;0;15,745201;0;15,89278;0;15,699545;0;15,068275;0;14,824511;0;15,306169;0;15,082439;;;C6 H12 O7;;196,0587;1,2439996;;C6 H12 O7;28;Esi-;
Adenosine diphosphate ribose Esi-1.7929995;-231,71304;-7,8561954;231,71304;down;-231,71304;-7,8561954;231,71304;down;-231,71304;-7,8561954;231,71304;down;-1,0103121;-0,014801025;1,0103121;down;-1,1852258;-0,24516201;1,1852258;down;-1,0662938;-0,092605114;1,0662938;down;-1,0485544;-0,06840181;1,0485544;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,823118;0;15,346099;0;16,109423;0;15,570923;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,032175;0;15,511351;0;15,900537;0;15,393088;0;15,854844;0;15,404742;0;15,654608;0;15,249558;0;14,914991;0;15,543907;0;15,132942;0;14,797813;0;15,464163;0;15,018547;0;15,932145;0;15,378328;0;15,639283;0;15,158965;0;15,866337;0;15,364682;0;15,937397;0;15,414949;0;15,669522;0;15,20063;;;Adenosine diphosphate ribose Esi-1.7929995;C00301;605,0777;1,7929995;HMDB01178;C15 H23 N5 O14 P2;28;Esi-;
C26 H26 N17 O9;-296,08282;-8,209857;296,08282;down;-296,08282;-8,209857;296,08282;down;-296,08282;-8,209857;296,08282;down;-1,0525438;-0,073880196;1,0525438;down;-1,0876367;-0,12119675;1,0876367;down;-1,099675;-0,13707733;1,099675;down;1,1032071;0,1417036;1,1032071;up;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,756987;0;15,949872;0;16,89938;0;16,072615;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,891476;0;16,146946;0;16,43215;0;15,655027;0;16,640993;0;15,8651285;0;16,901173;0;16,286558;0;15,73169;0;16,62994;0;16,023624;0;15,536277;0;16,483927;0;15,825381;0;16,3675;0;15,657096;0;16,688046;0;15,869593;0;17,78457;0;16,951193;0;16,763212;0;15,983594;0;16,741888;0;15,994266;;;C26 H26 N17 O9;;720,21;1,2590002;;C26 H26 N17 O9;28;Esi-;
3-methyl-2-oxobutanoate;-227,13008;-7,827375;227,13008;down;-227,13008;-7,827375;227,13008;down;-227,13008;-7,827375;227,13008;down;1,1970464;0,25947905;1,1970464;up;1,4684722;0,55431604;1,4684722;up;1,1142;0,15600824;1,1142;up;1,2713428;0,34635305;1,2713428;up;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,942537;0;15,445371;0;15,8493805;0;15,381711;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17,616096;0;17,049583;0;15,327692;0;14,76596;0;16,425299;0;15,857616;0;17,228941;0;16,776266;0;16,45266;0;17,051495;0;16,68331;0;16,322157;0;16,98522;0;16,606998;0;15,006633;0;14,604205;0;17,397432;0;16,858795;0;16,673544;0;16,233543;0;16,214699;0;15,722541;0;16,843296;0;16,397106;;;3-methyl-2-oxobutanoate;C00141;162,0529;1,212;HMDB00019;C5 H8 O3;28;Esi-;LMFA01020274
C20 H29 N3 O8 S;-3,025088;-1,5969771;3,025088;down;-3,025088;-1,5969771;3,025088;down;-3,025088;-1,5969771;3,025088;down;4,650188;2,217289;4,650188;up;72,37728;6,177465;72,37728;up;3,6821883;1,8805634;3,6821883;up;7,979273;2,9962573;7,979273;up;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,775817;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,572878;0;15,730073;0;0;0;0;0;13,468242;0;0;0;16,484587;0;15,45018;0;14,930968;0;15,97114;0;15,147244;0;14,935534;0;16,272594;0;15,198829;0;0;0;0;0;14,234893;0;13,585432;0;15,251778;0;14,073639;0;12,997356;0;0;0;12,796039;0;0;;;C20 H29 N3 O8 S;;471,1676;9,727001;;C20 H29 N3 O8 S;18;Esi-;
C25 H21 N3 O8;-1;0;1;down;-1;0;1;down;-1;0;1;down;5,257125;2,394274;5,257125;up;131,82607;7,042492;131,82607;up;11,164685;3,4808707;11,164685;up;9,499128;3,247795;9,499128;up;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,377313;0;13,353974;0;0;0;0;0;0;0;0;0;15,148993;0;14,036517;0;13,385458;0;14,87666;0;13,725579;0;13,347622;0;14,458599;0;13,700439;0;0;0;0;0;14,571279;0;13,275687;0;13,895197;0;12,736825;0;12,341519;0;0;0;0;0;0;;;C25 H21 N3 O8;;491,1345;10,445002;;C25 H21 N3 O8;15;Esi-;
C22 H19 N5;-1;0;1;down;-1;0;1;down;-1;0;1;down;4,7755504;2,255667;4,7755504;up;169,8432;7,4080596;169,8432;up;-1;0;1;down;4,4763765;2,1623313;4,4763765;up;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,591639;0;13,476366;0;0;0;0;0;0;0;0;0;14,793045;0;14,61039;0;14,86404;0;15,254954;0;14,928518;0;14,699898;0;14,796902;0;14,581201;0;0;0;0;0;0;0;0;0;13,067434;0;12,88054;0;0;0;0;0;0;0;0;;;C22 H19 N5;;353,1635;13,929;;C22 H19 N5;12;Esi-;
C10 H12 O2 S;-101,637146;-6,667284;101,637146;down;-101,637146;-6,667284;101,637146;down;-101,637146;-6,667284;101,637146;down;-4,4906697;-2,1669307;4,4906697;down;1,5678573;0,6487942;1,5678573;up;-2,6288157;-1,394413;2,6288157;down;1,2341942;0,30356932;1,2341942;up;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,867954;0;13,386537;0;13,287135;0;12,796648;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,170081;0;13,4998455;0;13,314725;0;0;0;13,01959;0;0;0;14,9307375;0;14,640923;0;14,3659115;0;14,849845;0;14,350387;0;14,214622;0;15,004176;0;14,700656;0;13,441517;0;0;0;14,487086;0;14,254364;0;14,011839;0;14,0672655;0;14,32404;0;13,720672;0;14,363245;0;13,1631775;;;C10 H12 O2 S;;196,0558;15,263;;C10 H12 O2 S;25;Esi-;
C11 H4 N2 O3 S2;-129,66878;-7,0186872;129,66878;down;-129,66878;-7,0186872;129,66878;down;-129,66878;-7,0186872;129,66878;down;1,0679805;0,09488535;1,0679805;up;1,0719364;0,10021925;1,0719364;up;-1,018153;-0,025954247;1,018153;down;1,002826;0,004071236;1,002826;up;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,019156;0;13,450953;0;14,549543;0;14,129847;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,741098;0;14,29749;0;14,1798315;0;13,939855;0;14,330567;0;13,874021;0;14,527538;0;14,182472;0;13,9924965;0;14,543454;0;14,167496;0;13,981567;0;14,458406;0;14,049083;0;13,815583;0;13,298922;0;14,642559;0;14,184797;0;14,291819;0;13,912046;0;13,920912;0;13,399145;0;14,590411;0;14,158768;;;C11 H4 N2 O3 S2;;275,9664;1,0890002;;C11 H4 N2 O3 S2;28;Esi-;
C15 H24 N O18 S;-176,16307;-7,4607677;176,16307;down;-176,16307;-7,4607677;176,16307;down;-176,16307;-7,4607677;176,16307;down;-1,3265685;-0,4076991;1,3265685;down;-1,1419309;-0,19147539;1,1419309;down;-1,0361072;-0,05117321;1,0361072;down;-1,0809754;-0,112333775;1,0809754;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,053078;0;14,555009;0;15,26814;0;14,809918;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,306774;0;13,151175;0;15,2321205;0;14,81958;0;14,200132;0;13,927036;0;14,8120775;0;14,641487;0;14,386806;0;14,733121;0;14,422065;0;14,348037;0;14,581788;0;14,3833;0;15,541672;0;15,171724;0;14,400813;0;14,162548;0;14,718906;0;14,212268;0;15,401813;0;14,947317;0;14,631917;0;14,268981;;;C15 H24 N O18 S;;538,0715;1,236;;C15 H24 N O18 S;28;Esi-;
C8 H13 N O2;-30,48799;-4,930169;30,48799;down;-122,896;-6,941294;122,896;down;-230,44337;-7,8482685;230,44337;down;1,0101982;0,014638424;1,0101982;up;1,0100714;0,014457226;1,0100714;up;1,001313;0,001893044;1,001313;up;1,0455941;0,06432295;1,0455941;up;0;15,795938;0;15,586311;0;15,3073435;0;0;0;0;0;0;0;0;0;0;0;15,999714;0;15,51234;0;15,866892;0;15,407202;0;16,325535;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,788208;0;15,478612;0;15,965875;0;15,543213;0;15,947203;0;15,631774;0;16,127289;0;15,78724;0;15,445371;0;15,9930935;0;15,640498;0;15,370448;0;15,9238615;0;15,515823;0;15,789509;0;15,346756;0;16,065752;0;15,599274;0;16,037762;0;15,576012;0;16,14053;0;15,671431;0;15,949965;0;15,575392;;;C8 H13 N O2;;155,0964;10,571003;;C8 H13 N O2;32;Esi-;
C15 H18 N2 O5 S;-168,37238;-7,3955116;168,37238;down;-168,37238;-7,3955116;168,37238;down;-168,37238;-7,3955116;168,37238;down;-1,257369;-0,3304081;1,257369;down;-1,0286729;-0,04078436;1,0286729;down;1,2080745;0,27270937;1,2080745;up;1,158948;0,21281576;1,158948;up;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,005712;0;14,736612;0;14,939213;0;14,482555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,080483;0;14,369051;0;14,855307;0;14,429145;0;13,64611;0;13,401147;0;14,327062;0;14,272484;0;14,362355;0;15,665087;0;15,543576;0;15,466013;0;14,075896;0;13,963167;0;14,837382;0;14,518469;0;16,058352;0;15,931569;0;16,109097;0;15,897396;0;14,974101;0;14,904117;0;14,797459;0;14,617755;;;C15 H18 N2 O5 S;;338,0948;11,178998;;C15 H18 N2 O5 S;28;Esi-;
C19 H24 N9 O16;-33,10939;-5,0491686;33,10939;down;-33,10939;-5,0491686;33,10939;down;-33,10939;-5,0491686;33,10939;down;-6,918187;-2,790394;6,918187;down;3,3444288;1,7417598;3,3444288;up;3,0813017;1,6235399;3,0813017;up;3,5361998;1,8221998;3,5361998;up;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,166398;0;12,889884;0;13,337065;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,960635;0;0;0;0;0;0;0;13,144659;0;0;0;14,706172;0;13,761759;0;13,138752;0;14,009916;0;13,03789;0;12,619074;0;14,000969;0;13,380326;0;14,005362;0;12,843332;0;13,907266;0;12,625709;0;14,56754;0;13,267078;0;14,234742;0;13,06289;0;14,176017;0;13,148159;;;C19 H24 N9 O16;;634,1333;2,0890005;;C19 H24 N9 O16;23;Esi-;
C12 H17 N13 O5;-26,038557;-4,7025776;26,038557;down;-26,038557;-4,7025776;26,038557;down;-26,038557;-4,7025776;26,038557;down;-5,9807396;-2,580324;5,9807396;down;2,9414997;1,5565519;2,9414997;up;-8,702782;-3,1214767;8,702782;down;-2,9775097;-1,5741062;2,9775097;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,288577;0;0;0;12,854284;0;12,477758;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,783612;0;12,683433;0;12,306631;0;12,363862;0;12,357277;0;12,733015;0;12,631405;0;12,592223;0;12,7623825;0;12,399278;0;0;0;0;0;12,648807;0;0;0;0;0;12,350387;0;12,8589525;0;12,332315;0;0;0;0;;;C12 H17 N13 O5;;423,1463;10,683;;C12 H17 N13 O5;17;Esi-;
C10 H14 O2 S;-1;0;1;down;-1;0;1;down;-1;0;1;down;2,0561414;1,0399395;2,0561414;up;102,11853;6,674101;102,11853;up;2,9953454;1,5827223;2,9953454;up;2,1038895;1,073059;2,1038895;up;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12,479275;0;0;0;0;0;0;0;0;0;13,848622;0;13,393927;0;12,912328;0;13,341241;0;13,118941;0;12,8792;0;13,851652;0;13,439701;0;0;0;0;0;0;0;12,661778;0;12,876708;0;0;0;0;0;0;0;0;0;0;;;C10 H14 O2 S;;198,0716;14,418;;C10 H14 O2 S;11;Esi-;
C15 H15 N5;-143,7737;-7,167656;143,7737;down;-143,7737;-7,167656;143,7737;down;-143,7737;-7,167656;143,7737;down;-4,8804383;-2,2870107;4,8804383;down;-27,157701;-4,7632895;27,157701;down;-12,440898;-3,6370187;12,440898;down;-3,63462;-1,8618045;3,63462;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,616951;0;14,274379;0;14,444821;0;14,005097;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,06428;0;14,67882;0;14,644814;0;14,1798315;0;0;0;0;0;0;0;13,138752;0;12,665113;0;12,666002;0;0;0;0;0;14,34131;0;13,903788;0;0;0;0;0;12,646109;0;12,40647;0;13,040118;0;12,709084;0;12,868437;0;0;;;C15 H15 N5;;265,1319;11,052998;;C15 H15 N5;18;Esi-;
> limit Esi-1.3279995;-181,09378;-7,500593;181,09378;down;-181,09378;-7,500593;181,09378;down;-181,09378;-7,500593;181,09378;down;-1,3563775;-0,43975878;1,3563775;down;-1,4633167;-0,549242;1,4633167;down;-1,462455;-0,5483923;1,462455;down;-1,3711199;-0,4553547;1,3711199;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15,186384;0;14,239225;0;15,767564;0;14,811575;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,30656;0;13,046441;0;14,907313;0;13,917559;0;14,773552;0;13,778591;0;15,411146;0;13,87431;0;12,677939;0;14,703309;0;14,010353;0;12,505812;0;14,35094;0;13,687813;0;14,994575;0;14,025918;0;13,955741;0;12,641375;0;14,622852;0;13,49085;0;14,504012;0;13,543273;0;14,606579;0;13,775301;;;> limit Esi-1.3279995;;1024,2303;1,3279995;;> limit;28;Esi-;
C24 H48 N2 O25 S;-129,23616;-7,013866;129,23616;down;-129,23616;-7,013866;129,23616;down;-129,23616;-7,013866;129,23616;down;-13,935034;-3,8006446;13,935034;down;1,5120273;0,5964842;1,5120273;up;-12,149979;-3,602882;12,149979;down;-14,048771;-3,812372;14,048771;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,586664;0;13,869016;0;14,125817;0;13,52943;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,279176;0;12,5352745;0;12,744204;0;0;0;15,756244;0;15,349385;0;15,085846;0;15,057019;0;14,66189;0;14,442295;0;15,862807;0;15,550116;0;13,942882;0;13,34499;0;0;0;0;0;13,235266;0;12,446049;0;12,736612;0;0;0;0;0;0;;;C24 H48 N2 O25 S;;796,224;1,2660002;;C24 H48 N2 O25 S;20;Esi-;
C14 H20 N4 O9;-1249,3505;-10,2869625;1249,3505;down;-1249,3505;-10,2869625;1249,3505;down;-1249,3505;-10,2869625;1249,3505;down;-10,915653;-3,4483266;10,915653;down;-1,2966613;-0,37480164;1,2966613;down;-1,0767119;-0,10663223;1,0767119;down;-1,0722648;-0,10066128;1,0722648;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20,896912;0;20,20886;0;20,895731;0;20,294195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20,871136;0;20,225698;0;20,7995;0;20,167295;0;20,367321;0;19,87686;0;19,421635;0;20,234358;0;19,707378;0;19,327385;0;20,05982;0;19,599825;0;20,835232;0;20,266884;0;20,509949;0;19,830574;0;20,593763;0;19,92312;0;20,734;0;20,113508;0;20,75053;0;20,120691;;;C14 H20 N4 O9;;387,0418;1,2800001;;C14 H20 N4 O9;26;Esi-;
C26 H23 N4 O5;-1;0;1;down;-1;0;1;down;-1;0;1;down;28,76129;4,8460565;28,76129;up;215,94818;7,7545414;215,94818;up;38,212048;5,2559557;38,212048;up;51,367622;5,6827874;51,367622;up;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16,48391;0;15,751413;0;0;0;0;0;13,210215;0;12,707143;0;15,971273;0;15,4496;0;15,089946;0;15,782819;0;15,314405;0;15,163296;0;16,010878;0;15,29045;0;12,43593;0;0;0;15,097991;0;14,513727;0;15,021848;0;14,192832;0;13,556148;0;12,905198;0;12,517423;0;0;;;C26 H23 N4 O5;;471,1683;9,927001;;C26 H23 N4 O5;20;Esi-;
C16 H15 N5 O2;-427,36942;-8,73934;427,36942;down;-427,36942;-8,73934;427,36942;down;-427,36942;-8,73934;427,36942;down;-1,3437464;-0,42626095;1,3437464;down;-1,9716631;-0,97941303;1,9716631;down;-1,5225798;-0,6065178;1,5225798;down;-1,727592;-0,78876257;1,727592;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17,838545;0;17,37124;0;17,593967;0;17,110962;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14,42246;0;14,147443;0;18,260649;0;17,743164;0;17,846273;0;17,33695;0;15,4680195;0;15,145534;0;14,822571;0;16,320642;0;16,005207;0;15,633052;0;15,6009;0;15,162903;0;17,623089;0;17,086136;0;15,393256;0;14,960093;0;16,033789;0;15,614796;0;16,291475;0;15,814332;0;16,056616;0;15,595927;;;C16 H15 N5 O2;;309,1217;11,0529995;;C16 H15 N5 O2;28;Esi-;
C24 H44 N4 O21 S3;-96,94114;-6,599037;96,94114;down;-96,94114;-6,599037;96,94114;down;-96,94114;-6,599037;96,94114;down;-1,012241;-0,017552853;1,012241;down;-1,0528966;-0,07436371;1,0528966;down;1,0136998;0,019630432;1,0136998;up;-1,0455147;-0,064213276;1,0455147;down;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,508784;0;12,650379;0;13,718746;0;12,914385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,49573;0;12,649705;0;13,661445;0;12,834471;0;13,568074;0;12,768391;0;13,91345;0;13,216745;0;12,471421;0;13,551107;0;12,987265;0;12,327272;0;13,218865;0;12,7086525;0;13,639114;0;12,706496;0;13,691961;0;12,911767;0;13,232271;0;12,546171;0;13,394463;0;12,549785;0;13,735556;0;12,95964;;;C24 H44 N4 O21 S3;;820,1641;1,219;;C24 H44 N4 O21 S3;28;Esi-;
C25 H42 N O28;-9,493987;-3,247014;9,493987;down;-9,493987;-3,247014;9,493987;down;-9,493987;-3,247014;9,493987;down;2,155813;1,108232;2,155813;up;5,309823;2,4086637;5,309823;up;3,118287;1,6407537;3,118287;up;9,94945;3,3146167;9,94945;up;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,04593;0;0;0;12,930182;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13,510023;0;12,71682;0;12,873252;0;0;0;13,162863;0;0;0;13,669329;0;12,885314;0;12,340963;0;13,322914;0;12,725367;0;0;0;12,978532;0;12,568432;0;12,647234;0;0;0;13,769941;0;12,684968;0;13,6964245;0;12,693922;0;13,664226;0;12,483564;0;13,414554;0;12,786882;;;C25 H42 N O28;;804,1892;1,2210002;;C25 H42 N O28;22;Esi-;
